Number,Type,Family,Morphospecies,Notes,
1274,A,I,m34,Horse head has a square at the end of the nose- also very elongated head with narrow nose. ,
1198,A,I,m34,*see 1274 for notes,
1063,A,I,m34,*see 1274 for notes,
J3245,A,C,m35,Very little wing veination. White veination in wing. Antennae has 13 segments. 2 in vial are the same morphospecies ,
J2915,P,T,m36,Completely smooth and transparent pupae. ,
1078,P,T,m36,*see J2915 for notes,
NB38032,P,T,m36,*see J2915 for notes,
J2530,P,T,m37,Very long and skinny pupae. Tan color with darker spots on it. One bump on the outside of the pupae. ,
J2311,P,T,m38,*see 1975 for notes ,
DP36731,P,T,m38,"Extreme, skinny plateau. Very smooth pupae. ",
FU31831,P,T,m38,*see DP36731 for notes,
ND31931,P,T,m38,*see DP36731 for notes,
BW52731,P,T,m38,*see DP36731 for notes,
BT62531,P,T,m38,*see DP36731 for notes,
BN31331 (Green),P,T,m39,"One end is pointed, the other end has two creases that make a U-shape by the other end. ",
BN31331 (Yellow),P,T,m39,*see BN31331 (Green) for notes,
CC36431,P,T,m39,*see BN31331 (Green) for notes,
1576,P,T,m39,*see BN31331 (Green) for notes,
1085,P,T,m39,*see BN31331 (Green) for notes,
1190,P,T,m39,*see BN31331 (Green) for notes,
ZZ54531,P,T,m39,*see BN31331 (Green) for notes,
J2561T,A,C,m4,Hammer head shape with red eyes. No wing veination. Has what looks like a stomata on head. Throax has a light yellow stripe. ,
1050,A,C,m4,*see J2561T for notes. Different from m25 via antennae- longer and less bubbly ,
1017,A,C,m4,*see J2561T for notes,
1044,A,C,m4,*see J2561T for notes,
1014,A,C,m4,*see J2561T for notes,
1091,A,C,m4,*see J2561T for notes,
1116,A,C,m4,*see J2561T for notes,
1034,A,C,m4,*see J2561T for notes,
1103,A,C,m4,*see J2561T for notes,
1004,A,C,m4,*see J2561T for notes,
J2257,P,T,m40,Black stripe down back and sides of fly ,
1080,A,T,m41,Head to body ratio is longer than m27,
1062,A,I,m43,Horse head nose comes to a point.,
1270,P,T,m44,Curved pupae. Light tan/yellow. Crease running up side. ,
1849,A,C,m45,Looks like m25 but has black eyes. Body does not have a gradient- all black with tannish legs. ,
K4594T,A,I,m46,*see EG32631 for notes,
EG32631,A,I,m46,Looks like m2 but there is a third rounded shape where the horse head should be. ,
1190,P,T,m47,Pupae is broken up but is compltely smooth- no grey creases on it. Outer outline dark than the middle. ,
J2843,P,T,m48,*see notes for 1167,
1336,P,T,m48,*see notes for 1167,
1040,P,T,m48,*see 1167 for notes,
1167,P,T,m48,Bumpy on the outside. One end is more pointed than the other. ,
NB31333,P,T,m48,*see 1167 for notes,
BQ40241,P,T,m48,*see 1167 for notes,
BA65032,P,T,m49,No creases on the pupae. The pointed end has one flat side.,
J3058T,A,C,m5,"Sasuage-link, short antennae (4 segments). No wing veination. ",
DS75933,A,I,m50,Has line sticking out of horsehead  (but not a full tongue). Three rectangular shapes under horsehead. ,
CQ68031,A,I,m51,Has line sticking out of horsehead (not full tongue). Has four rectangular shapes under horsehead- very similar to m50,
EJ36731,A,I,m52,Horsehead complete but it very rounded- shape right next to horsehead looks like a slighly less developed head. ,
K4165,A,I,m53,*see BW30831 for notes,
BW30831,A,I,m53,Looks like m1 but is missing bottom part of horsehead chin,
BZ52631,A,I,m53,*see BW30831 for notes,
